,timestamp,Packet loss %:ALL:SD:AVG:percentage,Delay (avg):ALL:SD:AVG:millisecond,Jitter (avg):ALL:SD:AVG:millisecond,Congestion:ALL:SD:AVG:millisecond,MOS:TWAMP:SD:AVG:number,TX
0,2023-08-20 00:00:00+02:00,0.0,2.631,0.053,0.0110266666666666,4.409286,545.0833333333334
1,2023-08-20 00:01:00+02:00,0.0,2.623,0.047,0.0090266666666666,4.409286,545.0
2,2023-08-20 00:02:00+02:00,0.0,2.629,0.047,0.0090266666666666,4.409286,545.3333333333334
3,2023-08-20 00:03:00+02:00,0.0,2.634,0.055,0.0090266666666666,4.409286,545.0833333333334
4,2023-08-20 00:04:00+02:00,0.0,2.63,0.054,0.0100266666666666,4.409286,544.9166666666666
5,2023-08-20 00:05:00+02:00,0.0,2.627,0.053,0.0100266666666666,4.409286,545.0
6,2023-08-20 00:06:00+02:00,0.0,2.632,0.056,0.0100266666666666,4.409286,545.0
7,2023-08-20 00:07:00+02:00,0.0,2.631,0.051,0.0110266666666666,4.409286,528.6666666666666
8,2023-08-20 00:08:00+02:00,0.0,2.632,0.059,0.0100266666666666,4.409286,545.1666666666666
9,2023-08-20 00:09:00+02:00,0.0,2.628,0.055,0.0100266666666666,4.409286,545.0833333333334
10,2023-08-20 00:10:00+02:00,0.0,2.626,0.049,0.0100266666666666,4.409286,545.1666666666666
11,2023-08-20 00:11:00+02:00,0.0,2.631,0.055,0.0110266666666666,4.409286,545.25
12,2023-08-20 00:12:00+02:00,0.0,2.628,0.053,0.0100266666666666,4.409286,545.0833333333334
13,2023-08-20 00:13:00+02:00,0.0,2.627,0.053,0.0110266666666666,4.409286,528.9166666666666
14,2023-08-20 00:14:00+02:00,0.0,2.63,0.055,0.0110266666666666,4.409286,545.1666666666666
15,2023-08-20 00:15:00+02:00,0.0,2.638,0.06,0.0110266666666666,4.409286,545.1666666666666
16,2023-08-20 00:16:00+02:00,0.0,2.631,0.056,0.0110266666666666,4.409286,545.4166666666666
17,2023-08-20 00:17:00+02:00,0.0,2.631,0.051,0.0110266666666666,4.409286,545.1666666666666
18,2023-08-20 00:18:00+02:00,0.0,2.64,0.06,0.0110266666666666,4.409286,545.1666666666666
19,2023-08-20 00:19:00+02:00,0.0,2.643,0.062,0.0110266666666666,4.409286,545.4166666666666
20,2023-08-20 00:20:00+02:00,0.0,2.633,0.052,0.0100266666666666,4.409286,545.1666666666666
21,2023-08-20 00:21:00+02:00,0.0,2.631,0.052,0.0100266666666666,4.409286,527.5833333333334
22,2023-08-20 00:22:00+02:00,0.0,2.639,0.059,0.0100266666666666,4.409286,545.0
23,2023-08-20 00:23:00+02:00,0.0,2.639,0.062,0.0110266666666666,4.409286,544.1666666666666
24,2023-08-20 00:24:00+02:00,0.0,2.64,0.061,0.0130266666666666,4.409286,544.1666666666666
25,2023-08-20 00:25:00+02:00,0.0,2.645,0.059,0.0110266666666666,4.409286,543.5
26,2023-08-20 00:26:00+02:00,0.0,2.643,0.063,0.0110266666666666,4.409286,544.0
27,2023-08-20 00:27:00+02:00,0.0,2.638,0.057,0.0130266666666666,4.409286,545.6666666666666
28,2023-08-20 00:28:00+02:00,0.0,2.64,0.061,0.0130266666666666,4.409286,544.9166666666666
29,2023-08-20 00:29:00+02:00,0.0,2.635,0.058,0.0120266666666666,4.409286,528.75
30,2023-08-20 00:30:00+02:00,0.0,2.637,0.06,0.0120266666666666,4.409286,545.8333333333334
31,2023-08-20 00:31:00+02:00,0.0,2.634,0.058,0.0120266666666666,4.409286,545.1666666666666
32,2023-08-20 00:32:00+02:00,0.0,2.631,0.056,0.0090266666666666,4.409286,545.1666666666666
33,2023-08-20 00:33:00+02:00,0.0,2.629,0.054,0.0100266666666666,4.409286,545.0
34,2023-08-20 00:34:00+02:00,0.0,2.633,0.058,0.0110266666666666,4.409286,544.3333333333334
35,2023-08-20 00:35:00+02:00,0.0,2.635,0.063,0.0090266666666666,4.409286,545.0833333333334
36,2023-08-20 00:36:00+02:00,0.0,2.633,0.061,0.0090266666666666,4.409286,545.0
37,2023-08-20 00:37:00+02:00,0.0,2.632,0.058,0.0080266666666666,4.409286,528.75
38,2023-08-20 00:38:00+02:00,0.0,2.628,0.055,0.0080266666666666,4.409286,545.0833333333334
39,2023-08-20 00:39:00+02:00,0.0,2.63,0.056,0.0100266666666666,4.409286,545.1666666666666
40,2023-08-20 00:40:00+02:00,0.0,2.628,0.053,0.0110266666666666,4.409286,544.4166666666666
41,2023-08-20 00:41:00+02:00,0.0,2.632,0.056,0.0110266666666666,4.409286,545.0833333333334
42,2023-08-20 00:42:00+02:00,0.0,2.623,0.051,0.0090266666666666,4.409286,528.5
43,2023-08-20 00:43:00+02:00,0.0,2.629,0.056,0.0100266666666666,4.409286,546.0833333333334
44,2023-08-20 00:44:00+02:00,0.0,2.63,0.055,0.0100266666666666,4.409286,545.1666666666666
45,2023-08-20 00:45:00+02:00,0.0,2.623,0.049,0.0100266666666666,4.409286,544.6666666666666
46,2023-08-20 00:46:00+02:00,0.0,2.629,0.054,0.0120266666666666,4.409286,544.9166666666666
47,2023-08-20 00:47:00+02:00,0.0,2.633,0.06,0.0110266666666666,4.409286,545.1666666666666
48,2023-08-20 00:48:00+02:00,0.0,2.627,0.052,0.0110266666666666,4.409286,545.0
49,2023-08-20 00:49:00+02:00,0.0,2.636,0.054,0.0110266666666666,4.409286,545.0
50,2023-08-20 00:50:00+02:00,0.0,2.627,0.05,0.0110266666666666,4.409286,528.4166666666666
51,2023-08-20 00:51:00+02:00,0.0,2.635,0.053,0.0120266666666666,4.409286,545.25
52,2023-08-20 00:52:00+02:00,0.0,2.639,0.062,0.0110266666666666,4.409286,545.1666666666666
53,2023-08-20 00:53:00+02:00,0.0,2.63,0.058,0.0100266666666666,4.409286,545.1666666666666
54,2023-08-20 00:54:00+02:00,0.0,2.632,0.054,0.0110266666666666,4.409286,545.1666666666666
55,2023-08-20 00:55:00+02:00,0.0,2.631,0.054,0.0110266666666666,4.409286,545.1666666666666
56,2023-08-20 00:56:00+02:00,0.0,2.622,0.047,0.0110266666666666,4.409286,545.0833333333334
57,2023-08-20 00:57:00+02:00,0.0,2.623,0.046,0.0100266666666666,4.409286,545.0833333333334
58,2023-08-20 00:58:00+02:00,0.0,2.627,0.047,0.0120266666666666,4.409286,545.0
59,2023-08-20 00:59:00+02:00,0.0,2.621,0.045,0.0110266666666666,4.409286,545.0
60,2023-08-20 01:00:00+02:00,0.0,2.636,0.061,0.0129901639344261,4.409286,545.0
61,2023-08-20 01:01:00+02:00,0.0,2.622,0.051,0.0109901639344261,4.409286,528.6666666666666
62,2023-08-20 01:02:00+02:00,0.0,2.615,0.042,0.0099901639344261,4.409286,545.1666666666666
63,2023-08-20 01:03:00+02:00,0.0,2.614,0.041,0.0089901639344261,4.409286,545.0833333333334
64,2023-08-20 01:04:00+02:00,0.0,2.623,0.05,0.0099901639344261,4.409286,545.1666666666666
65,2023-08-20 01:05:00+02:00,0.0,2.632,0.052,0.0129901639344261,4.409286,545.0
66,2023-08-20 01:06:00+02:00,0.0,2.626,0.051,0.0119901639344261,4.409286,545.0
67,2023-08-20 01:07:00+02:00,0.0,2.634,0.056,0.0129901639344261,4.409286,545.0833333333334
68,2023-08-20 01:08:00+02:00,0.0,2.626,0.05,0.0119901639344261,4.409286,545.1666666666666
69,2023-08-20 01:09:00+02:00,0.0,2.617,0.042,0.0099901639344261,4.409286,528.4166666666666
