,timestamp,Packet loss %:ALL:SD:AVG:percentage,Delay (avg):ALL:SD:AVG:millisecond,Jitter (avg):ALL:SD:AVG:millisecond,Congestion:ALL:SD:AVG:millisecond,MOS:TWAMP:SD:AVG:number,RX
0,2023-08-20 00:00:00+02:00,0.0,2.631,0.053,0.0110266666666666,4.409286,3491398.583333333
1,2023-08-20 00:01:00+02:00,0.0,2.623,0.047,0.0090266666666666,4.409286,3491446.5
2,2023-08-20 00:02:00+02:00,0.0,2.629,0.047,0.0090266666666666,4.409286,3487340.333333333
3,2023-08-20 00:03:00+02:00,0.0,2.634,0.055,0.0090266666666666,4.409286,3507826.75
4,2023-08-20 00:04:00+02:00,0.0,2.63,0.054,0.0100266666666666,4.409286,3486431.583333333
5,2023-08-20 00:05:00+02:00,0.0,2.627,0.053,0.0100266666666666,4.409286,3508701.4166666665
6,2023-08-20 00:06:00+02:00,0.0,2.632,0.056,0.0100266666666666,4.409286,3499967.25
7,2023-08-20 00:07:00+02:00,0.0,2.631,0.051,0.0110266666666666,4.409286,3498516.6666666665
8,2023-08-20 00:08:00+02:00,0.0,2.632,0.059,0.0100266666666666,4.409286,3479213.75
9,2023-08-20 00:09:00+02:00,0.0,2.628,0.055,0.0100266666666666,4.409286,3512903.333333333
10,2023-08-20 00:10:00+02:00,0.0,2.626,0.049,0.0100266666666666,4.409286,3496720.0
11,2023-08-20 00:11:00+02:00,0.0,2.631,0.055,0.0110266666666666,4.409286,3503200.75
12,2023-08-20 00:12:00+02:00,0.0,2.628,0.053,0.0100266666666666,4.409286,3476299.5
13,2023-08-20 00:13:00+02:00,0.0,2.627,0.053,0.0110266666666666,4.409286,3510739.333333333
14,2023-08-20 00:14:00+02:00,0.0,2.63,0.055,0.0110266666666666,4.409286,3490507.75
15,2023-08-20 00:15:00+02:00,0.0,2.638,0.06,0.0110266666666666,4.409286,3522370.333333333
16,2023-08-20 00:16:00+02:00,0.0,2.631,0.056,0.0110266666666666,4.409286,3498294.1666666665
17,2023-08-20 00:17:00+02:00,0.0,2.631,0.051,0.0110266666666666,4.409286,3481553.5
18,2023-08-20 00:18:00+02:00,0.0,2.64,0.06,0.0110266666666666,4.409286,3509761.9166666665
19,2023-08-20 00:19:00+02:00,0.0,2.643,0.062,0.0110266666666666,4.409286,3474494.4166666665
20,2023-08-20 00:20:00+02:00,0.0,2.633,0.052,0.0100266666666666,4.409286,3498322.0
21,2023-08-20 00:21:00+02:00,0.0,2.631,0.052,0.0100266666666666,4.409286,3478208.5
22,2023-08-20 00:22:00+02:00,0.0,2.639,0.059,0.0100266666666666,4.409286,3506288.833333333
23,2023-08-20 00:23:00+02:00,0.0,2.639,0.062,0.0110266666666666,4.409286,3468844.0
24,2023-08-20 00:24:00+02:00,0.0,2.64,0.061,0.0130266666666666,4.409286,3490474.4166666665
25,2023-08-20 00:25:00+02:00,0.0,2.645,0.059,0.0110266666666666,4.409286,3475550.6666666665
26,2023-08-20 00:26:00+02:00,0.0,2.643,0.063,0.0110266666666666,4.409286,3505397.5
27,2023-08-20 00:27:00+02:00,0.0,2.638,0.057,0.0130266666666666,4.409286,3466072.1666666665
28,2023-08-20 00:28:00+02:00,0.0,2.64,0.061,0.0130266666666666,4.409286,3491600.833333333
29,2023-08-20 00:29:00+02:00,0.0,2.635,0.058,0.0120266666666666,4.409286,3473450.0
30,2023-08-20 00:30:00+02:00,0.0,2.637,0.06,0.0120266666666666,4.409286,3500475.083333333
31,2023-08-20 00:31:00+02:00,0.0,2.634,0.058,0.0120266666666666,4.409286,3469736.75
32,2023-08-20 00:32:00+02:00,0.0,2.631,0.056,0.0090266666666666,4.409286,3485884.583333333
33,2023-08-20 00:33:00+02:00,0.0,2.629,0.054,0.0100266666666666,4.409286,3481985.25
34,2023-08-20 00:34:00+02:00,0.0,2.633,0.058,0.0110266666666666,4.409286,3500073.833333333
35,2023-08-20 00:35:00+02:00,0.0,2.635,0.063,0.0090266666666666,4.409286,3472961.1666666665
36,2023-08-20 00:36:00+02:00,0.0,2.633,0.061,0.0090266666666666,4.409286,3485689.9166666665
