timestamp,Packet loss %:ALL:SD:AVG:percentage,Delay (avg):ALL:SD:AVG:millisecond,Jitter (avg):ALL:SD:AVG:millisecond,Congestion:ALL:SD:AVG:millisecond,MOS:TWAMP:SD:AVG:number,RX
2023-08-20 00:00:00+02:00,0.08,2.631,0.053,0.011026667,4.409286,3491398.583333333
2023-08-20 00:01:00+02:00,0.08,2.623,0.047,0.009026667,4.409286,3491446.5
2023-08-20 00:02:00+02:00,0.08,2.629,0.047,0.009026667,4.409286,3487340.333333333
2023-08-20 00:03:00+02:00,0.1,2.634,0.055,0.009026667,4.409286,3507826.75
2023-08-20 00:04:00+02:00,0.1,2.63,0.054,0.010026667,4.409286,3486431.583333333
2023-08-20 00:05:00+02:00,0.08,2.627,0.053,0.010026667,4.409286,3508701.4166666665
2023-08-20 00:06:00+02:00,0.08,2.632,0.056,0.010026667,4.409286,3499967.25
2023-08-20 00:07:00+02:00,0.08,2.631,0.051,0.011026667,4.409286,3498516.6666666665
2023-08-20 00:08:00+02:00,0.08,2.632,0.059,0.010026667,4.409286,3479213.75
2023-08-20 00:09:00+02:00,0.08,2.628,0.055,0.010026667,4.409286,3512903.333333333
2023-08-20 00:10:00+02:00,0.08,2.626,0.049,0.010026667,4.409286,3496720.0
2023-08-20 00:11:00+02:00,0.08,2.631,0.055,0.011026667,4.409286,3503200.75
2023-08-20 00:12:00+02:00,0.08,2.628,0.053,0.010026667,4.409286,3476299.5
2023-08-20 00:13:00+02:00,0.08,2.627,0.053,0.011026667,4.409286,3510739.333333333
2023-08-20 00:14:00+02:00,0.08,2.63,0.055,0.011026667,4.409286,3490507.75
2023-08-20 00:15:00+02:00,0.08,2.638,0.06,0.011026667,4.409286,3522370.333333333
2023-08-20 00:16:00+02:00,0.08,2.631,0.056,0.011026667,4.409286,3498294.1666666665
2023-08-20 00:17:00+02:00,0.08,2.631,0.051,0.011026667,4.409286,3481553.5
