,timestamp,Packet loss %:ALL:SD:AVG:percentage,Delay (avg):ALL:SD:AVG:millisecond,Jitter (avg):ALL:SD:AVG:millisecond,Congestion:ALL:SD:AVG:millisecond,MOS:TWAMP:SD:AVG:number,Memory %
0,2023-08-20 00:00:00+02:00,0.0,2.631,0.053,0.0110266666666666,4.409286,50.15752691889956
1,2023-08-20 00:01:00+02:00,0.0,2.623,0.047,0.0090266666666666,4.409286,50.155391305409005
2,2023-08-20 00:02:00+02:00,0.0,2.629,0.047,0.0090266666666666,4.409286,50.15198449341214
3,2023-08-20 00:03:00+02:00,0.0,2.634,0.055,0.0090266666666666,4.409286,50.15889981328636
4,2023-08-20 00:04:00+02:00,0.0,2.63,0.054,0.0100266666666666,4.409286,50.16637446050335
5,2023-08-20 00:05:00+02:00,0.0,2.627,0.053,0.0100266666666666,4.409286,50.16912024927694
6,2023-08-20 00:06:00+02:00,0.0,2.632,0.056,0.0100266666666666,4.409286,50.13128938172973
7,2023-08-20 00:07:00+02:00,0.0,2.631,0.051,0.0110266666666666,4.409286,50.11984859517311
8,2023-08-20 00:08:00+02:00,0.0,2.632,0.059,0.0100266666666666,4.409286,50.14664545968572
9,2023-08-20 00:09:00+02:00,0.0,2.628,0.055,0.0100266666666666,4.409286,50.14578104470144
10,2023-08-20 00:10:00+02:00,0.0,2.626,0.049,0.0100266666666666,4.409286,50.14578104470144
11,2023-08-20 00:11:00+02:00,0.0,2.631,0.055,0.0110266666666666,4.409286,50.144458998254905
12,2023-08-20 00:12:00+02:00,0.0,2.628,0.053,0.0100266666666666,4.409286,50.14705224320773
13,2023-08-20 00:13:00+02:00,0.0,2.627,0.053,0.0110266666666666,4.409286,50.14476408589641
14,2023-08-20 00:14:00+02:00,0.0,2.63,0.055,0.0110266666666666,4.409286,50.15091668666686
15,2023-08-20 00:15:00+02:00,0.0,2.638,0.06,0.0110266666666666,4.409286,50.14171320948131
16,2023-08-20 00:16:00+02:00,0.0,2.631,0.056,0.0110266666666666,4.409286,50.15284890839642
